Company,City,Country,Client Tier,Gap Type,Action Required,Priority
Endress+Hauser Group,Reinach,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Phoenix Contact GmbH & Co. KG,Blomberg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ifm electronic,Essen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Pfleiderer GmbH,Neumarkt i.d.Opf.,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Windmoeller & Hoelscher Group,Lengerich,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Siltronic AG,Muenchen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
CANCOM Austria,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ALLPLAN,Muenchen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Frequentis,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AIKO Energy,Duesseldorf,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Aareon DACH,Mainz,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Magenta Telekom,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Rejlers,Zurich,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
CANCOM,Munich,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Elmos,Leverkusen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Otto Krahn Group,Hamburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
1&1 Versatel,Duesseldorf,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Vikram Solar Europe,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Bosch Österreich,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Bosch Connected Industry,Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
German Aerospace Center (DLR),Koeln,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
adesso Schweiz AG,Dortmund,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Enpal,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Nemetschek Group,Munich,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
adesso SE,Dortmund,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Netlight,Zuerich,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Austrian Federal Computing Centre,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ipoque - a Rohde & Schwarz company,Leipzig,DE,1,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Kaspersky,Zurich,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
RUAG,Bern,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SRH,Heidelberg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Printec Group,Vienna,AT,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
V-ZUG,Zug,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SATO Europe,Heidelberg,DE,1,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Energiekonzepte Deutschland GmbH,Leipzig,DE,1,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Institute of Forming Technology and Lightweight Components,Dortmund,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
VDE,Offenbach,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
P3,Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Flink,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Arburg GmbH,Lossburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Winterhalter,Meckenbeuren,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Brose Fahrzeugteile SE & Co. KG,Coburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Schuler AG (now Andritz Schuler),Goeppingen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
PERI GmbH,Weissenhorn,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Acino,Zurich,CH,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SCHOTT Pharma,Mainz,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Berlin-Chemie Menarini,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Merz Therapeutics,Frankfurt am Main,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Rickmers-Gruppe,Hamburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Grünenthal Group,Aachen,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Merz Group,Frankfurt,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
medac France,Wedel,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ROVI Pharmaceutical Company,Koblenz,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Rodenstock,Munich,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Eppendorf,Hamburg,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
M+W Group,Stuttgart,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Schwabe Group,Karlsruhe,DE,1,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Awin Global,Berlin,DE,1,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Fleischwerk Weißenfels GmbH,Weißenfels,DE,2,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Paul Kempowski GmbH & Co KG,Lübeck,DE,2,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Ahlers Austria GmbH,Mariasdorf,AT,2,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Engleder Handels GmbH,Weer,AT,2,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
H&M Hennes & Mauritz Logistik AB & Co. KG,Hamburg,DE,2,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
EMKA Beschlagteile,Velbert,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
DELO Industrie Klebstoffe,Windach (Munich),DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AMBOSS,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Detecon,Cologne,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
PŸUR | Tele Columbus,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Hueck Industrie Holding KG,Lippstadt,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Harro Höfliger,Allmersbach im Tal,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Gerhard Schubert GmbH,Crailsheim,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Blickle Räder + Rollen,Rosenfeld,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Schmalz GmbH,Glatten,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Test IO,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Qcells Europe,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
BE-terna,Innsbruck,AT,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Materialise,Stuttgart,DE,2,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
ib vogt GmbH,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
dmTECH GmbH,Karlsruhe,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
RIB Software,Stuttgart,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
TIMETOACT GROUP,Cologne,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
msg global solutions,Zurich,CH,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Contentful,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Gorillas,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
netgo,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
DeepL,Cologne,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SNP Group,Heidelberg,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Tagueri AG,Hamburg,DE,2,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
trivago,Duesseldorf,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
tts - we empower people,Heidelberg,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SoundCloud,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Freelancer,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
idealo internet GmbH,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SMG Swiss Marketplace Group,Zurich,CH,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
M-net Telekommunikations GmbH,Munich,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
CENIT,Stuttgart,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Exxeta,Karlsruhe,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
cbs Corporate Business Solutions,Heidelberg,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Personio,Munich,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Unite,Leipzig,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
PTV Group,Karlsruhe,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Otto Group one.O,Dresden,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Regnology,Frankfurt,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Schüßler-Plan,Duesseldorf,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
BCG Platinion,Koeln,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
SÜDPACK SE,Ochsenhausen,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Bär & Ollenroth KG,Berlin,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AVANTGARDE Group,Munich,DE,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
MSD Österreich,Vienna,AT,2,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Chiesi Deutschland,Hamburg,DE,2,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Canda International GmbH & Co. OHG,Essen,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Besi (BE Semiconductor)** CH: **Esec,Cham,CH,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Lauffer Pressen GmbH,Horb am Neckar,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Uwe Electronic GmbH,Unterhaching,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Wacker Neuson** Subsidiary: **Kramer-Werke GmbH,Pfullendorf,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Rebecca Kirchbaumer,Völs,AT,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Tebis AG,Martinsried,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
COPA-DATA GmbH,Salzburg,AT,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Abas Software,Karlsruhe,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
CONTACT Software,Bremen,DE,3,MISSING URL (cannot upload to HubSpot),Find company website URL,HIGH
Plasmatreat GmbH,Steinhagen,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
MaibornWolff GmbH,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Uberall,Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
yoummday,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Mink Bürsten,Göppingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Helmut Fischer GmbH,Sindelfingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Römheld GmbH,Laubach,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
osapiens,Mannheim,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Helsing,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ATOSS Software SE,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
CNT Management Consulting,Vienna,AT,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Roemheld GmbH,Laubach,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Helmut Fischer GmbH Institut fuer Elektronik und Messtechnik,Sindelfingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Gebr. Kemper GmbH + Co. KG,Olpe,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Mink Buersten (August Mink GmbH & Co. KG),Goeppingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Erwin Halder KG,Achstetten,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Hawo GmbH,Obrigheim,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Wenglor Sensoric,Tettnang,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
G+D Netcetera,Zurich,CH,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Bedag Informatique SA,Bern,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
CREALOGIX,Zurich,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Chaos,Karlsruhe,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Enscape | Part of Chaos,Karlsruhe,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
NFQ,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Trusted Shops,Cologne,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Visable,Hamburg,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Quipu GmbH,Frankfurt am Main,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
GUS Group,Cologne,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Raisin,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
G DATA Software,Bochum,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Cognizant Netcentric,Zurich,CH,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
n8n,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Robotron Datenbank-Software GmbH,Dresden,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Rocket Internet SE,Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Parloa,Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
rku.it GmbH,Herne,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Star Finanz,Hamburg,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Unic,Zurich,CH,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
KISTERS Group,Aachen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Scandit,Zurich,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
AFI Solutions GmbH,Bonn,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Beta Systems Software,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
First Sensor,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
codecentric AG,Solingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AKQUINET,Hamburg,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Usercentrics,Munich,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Utimaco,Aachen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Abas,Karlsruhe,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
BridgingIT,Mannheim,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Adjust,Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
German Energy Agency (dena),Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
NFON AG,Munich,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Emarsys,Vienna,AT,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Adnovum,Zurich,CH,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Beekeeper by LumApps,Zurich,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Mercedes-Benz.io,Stuttgart,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Matrix42,Frankfurt,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
ZEISS Digital Innovation,Dresden,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
commercetools,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Native Instruments,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Camunda,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Volkswagen Infotainment GmbH,Bochum,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
INFORM GmbH - Optimization Software,Aachen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Dataciders GmbH,Dortmund,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Lucanet,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Cloudflight,Munich,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AEB,Stuttgart,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Damovo,Duesseldorf,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
NavVis,Muenchen,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
ZETCON Ingenieure GmbH,Bochum,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
INIT Group,Karlsruhe,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Zoi,Stuttgart,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
METRO.digital,Duesseldorf,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Q ENERGY,Berlin,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Dodenhof Wohnwelten,Ottersberg,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
"Demaurex & Cie S.A.,",Gossau,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Wintersteiger AG,Ried im Innkreis,AT,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
BSW Berleburger Schaumstoffwerk,Bad Berleburg,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
OMICRON electronics,Klaus,AT,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Erowa AG,Büron,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Andreas Hettich GmbH,Tuttlingen,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
August Steinmeyer GmbH,Albstadt,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Dr. O.K. Wack Chemie / ZESTRON,Ingolstadt,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
ALANOD GmbH,Ennepetal,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Elma Schmidbauer GmbH,Singen,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
BJB GmbH,Arnsberg,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Otto Männer GmbH,Bahlingen,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
Illig Maschinenbau,Heilbronn,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Heidelberg Engineering,Heidelberg,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Evotec,Hamburg,DE,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
AOP Health,Vienna,AT,3,MISSING CONTACT,Find Head of Sales / Vertriebsleiter,HIGH
W.O.M. WORLD OF MEDICINE GmbH,Berlin,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
BioSpring GmbH,Frankfurt,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
seca – precision for health,Hamburg,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Visilab SA,Meyrin,CH,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Theegarten-Pactec,Dresden,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
KOEPFER Zahnradtechnik,Furtwangen,DE,3,MISSING CONTACT,Find Geschäftsführer/CEO,HIGH
Schunk GmbH & Co. KG,Lauffen am Neckar,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
OPTIMA packaging group GmbH,Schwäbisch Hall,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Pilz GmbH & Co. KG,Ostfildern,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
G. Siempelkamp GmbH & Co. KG,Krefeld,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
