Name,Company Domain Name,City,State/Region,Country/Region,Postal Code,Phone Number,Company Email,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Niche Leadership,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
PULS GmbH,pulspower.com,München,Bayern,DE,81925.0,089-9278-0,info@pulspower.com,Industrie,PULS hat sich auf die Entwicklung und Fertigung von Hutschienen-Netzteilen konzentriert.,151700000,603,3,tier1,Erdl,1980,,Innovation leader DIN-rail power supplies,84.0,False,False,100,Familienunternehmen_V6; Research_xlsx; dach_10_50m_targets,3,Head of Sales / Vertriebsleiter
pfm medical ag,pfmmedical.com,Köln,Nordrhein-Westfalen,DE,50996.0,02236-9641-0,info@pfmmedical.com,Medizintechnik,Die Firma Pfm Medical ist ein Pionier im Bereich Medizintechnik.,127100000,660,3,tier1,Schoeller Nf.,1971,,,84.0,False,False,100,Familienunternehmen_V6; Research_xlsx; dach_icp_targets,3,Head of Sales / Vertriebsleiter
Kiefel GmbH,kiefel.com/de,Freilassing,Bayern,DE,83395.0,08654-78-0,kiefel@kiefel.de,Industrie,Das Unternehmen stellt Maschinen und Werkzeugen für die Verarbeitung von Kunststoffen her.,141500000,450,3,tier1,Brückner,1945,,Leading specialist in thermoforming & high-frequency welding,84.0,False,False,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx,3,Geschäftsführer/CEO
Homag Plattenaufteiltechnik GmbH,holzma.de,Calw,Baden-Württemberg,DE,75365.0,07053-69-0,info@holzma.de,Maschinenbau,"Homag Plattenaufteiltechnik GmbH ist ein führendes Unternehmen im Maschinenbau. Es bietet innovative Lösungen für die Automatisierung von Holz- und Kunststoffplatten. Die Produkte des Unternehmens umfassen ein Reihe an Aufteilmaschinen, Sägemaschinen, Kantenanleimern und anderen Anlagen zur Verarbeitung von Plattenmaterialien. Dank der modernsten Technologie kann Homag Plattenaufteiltechnik GmbH hochwertige Ergebnisse liefern, die den Kundenerwartungen entsprechen. Das Unternehmen verfügt über ein erfahrenes Team aus Ingenieuren und Technikern, das sich stets bemüht, neue Ideen in die Praxis umzusetzen. Mit seinen innovativen Lösungen hat Homag Plattenaufteiltechnik GmbH bereits viel Anerkennung in der Branche erhalten.",125000000,500,3,tier1,Homag = Dürr,,,**MartinMechanic Friedrich Martin GmbH**,84.0,False,False,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx,3,Head of Sales / Vertriebsleiter
Plasmatreat GmbH,plasmatreat.de,Steinhagen,NRW,DE,,,,Manufacturing,Atmospheric plasma surface treatment,80000000,400,3,tier1,,,Yes - DDW Weltmarktführer,,83.0,False,False,60,MD_Manufacturers_ICP; dach_mittelstand_manufacturers,2,Geschäftsführer/CEO
BHS Corrugated,bhs-corrugated.de,Weiherhammer,Bayern,DE,92729.0,09605-919-0,info@bhs-corrugated.de,Maschinenbau,"BHS Corrugated ist Weltmarktführer auf dem Gebiet der Entwicklung, Herstellung und Montage von Wellpappanlagen.",549585000,2000,1,tier1,Bradatsch / Engel,1993,Yes - ~50% corrugator share,,82.0,False,False,100,Familienunternehmen_V6; Research_xlsx; dach_mittelstand_manufacturers,3,Head of Sales / Vertriebsleiter
GEMÜ Gebr. Müller Apparatebau GmbH & Co. KG,gemu-group.de,Ingelfingen,Baden-Württemberg,DE,74653.0,07940-123-0,info@gemue.de,Industrie,"Die GEMÜ Gruppe entwickelt und fertigt Ventil-, Mess- und Regelsysteme für Flüssigkeiten, Dämpfe und Gase. Das global ausgerichtete, unabhängige Familienunternehmen produziert an sechs Standorten weltweit und beschäftigt mehr als 1.900 Mitarbeiter.",530000000,2500,1,tier1,Müller,1964,Yes,,82.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Head of Sales / Vertriebsleiter
Windmöller & Hölscher Gruppe,wh.group/de,Lengerich,Nordrhein-Westfalen,DE,49525.0,05481-14-0,info@wuh-group.com,Maschinenbau,Windmöller & Hölscher gehört zu den führenden Unternehmen im Bereich Maschinen für die Herstellung flexibler Verpackungen.,1000000000,3100,1,tier1,Windmöller/Hölscher,1869,Yes - flexible packaging,,82.0,False,False,100,Familienunternehmen_V6; Research_xlsx; dach_mittelstand_manufacturers,3,Head of Sales / Vertriebsleiter
Pepperl+Fuchs SE,pepperl-fuchs.com,Mannheim,Baden-Württemberg,DE,68307.0,0621-7760,info@de.pepperl-fuchs.com,Industrie,"Pepperl und Fuchs entwickelt, produziert und vertreibt elektronische Sensoren und Produkte für den Explosionsschutz.",930000000,6850,1,tier1,Fuchs / Michael,1945,Yes,,82.0,False,False,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Head of Sales / Vertriebsleiter
J.W. Ostendorf GmbH & Co. KG,jwo.com,Coesfeld,Nordrhein-Westfalen,DE,48653.0,02541-744-0,info@jwo.com,Industrie,"J.W. Ostendorf, kurz JWO, ist ein Farbenhersteller, der zudem Marken für den Handel entwickelt. Dabei ist das Angebot des Unternehmens auf ein komplettes Heimwerker-Sortiment ausgerichtet.",195100000,750,3,tier1,Ostendorf,1948,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Martin Stanz- und Umformtechnik GmbH,martin-metall.de,Parsberg,Bayern,DE,92331.0,09492-951-0,info@martin-metall.de,Automobilzulieferer,Martin Stanzteile ist ein unabhängiges Familienunternehmen mit Spezialisierung auf die Herstellung von Stanz- und Umformteilen.,195000000,650,3,tier1,Martin,1967,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
SWISS KRONO TEX GmbH & Co. KG,kronotex.com,Heiligengrabe,Brandenburg,DE,16909.0,033962-69-0,info@swisskrono.de,Holzindustrie,Kronoply ist ein Hersteller von MDF Platten für die Möbel- und Paneelindustrie.,195000000,650,3,tier1,Kronogruppe (Schweiz),1996,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Heinrich Manten Qualitätsfleisch vom Niederrhein GmbH & Co. KG,heinrichmanten.de,Geldern,Nordrhein-Westfalen,DE,47608.0,02831-9384-0,info@heinrichmanten.de,Industrie,"Manten bietet bei der Fleischproduktion alles aus einer Hand: Schlachten, Zerlegen und Veredeln.",195000000,350,3,tier1,Manten,1951,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Elsdorfer Molkerei und Feinkost GmbH,elsdorfer.de,Elsdorf,Niedersachsen,DE,27404.0,04286-9300-0,info@elsdorfer.de,Industrie,Die Heideblume-Molkerei besteht aus zwei Unternehmensbereichen: Einer Molkerei und einem Feinkostbetrieb.,194300000,335,3,tier1,Bauer,1909,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
QuickPack Haushalt + Hygiene GmbH,quickpack.de,Renningen,Baden-Württemberg,DE,71272.0,07159-1638-0,quickpack@quickpack.de,Industrie,Quickpack fertigt und vertreibt Haushaltsprodukte und Hygieneartikel.,193800000,175,3,tier1,Schwaderer,1966,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
VILSA-BRUNNEN Otto Rodekohr GmbH,vilsa.de,Bruchhausen-Vilsen,Niedersachsen,DE,27305.0,04252-392-0,info@vilsa.de,Getränkeindustrie,"Vilsa Brunnen ist ein Getränkehersteller, der hauptsächlich Mineralwasser produziert und dieses überwiegend in der nordwestdeutschen Region verkauft.",193400000,428,3,tier1,Rodekohr,1909,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Ter Hell & Co. GmbH,terhell.com,Hamburg,Hamburg,DE,20457.0,040-300501-0,info@terhell.com,Industrie,"Ter Hell ist ein Hamburger Unternehmen, das mit Spezialwachsen und anderen ausgewählten Lebensmittelrohstoffen handelt und sich mit der Distribution chemischer Produkte befasst.",193000000,340,3,tier1,Westphal,1908,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Nickelhütte Aue GmbH,nickelhuette-aue.de,Aue,Sachsen,DE,8280.0,03771-5050,info@nickelhuette-aue.de,Industrie,"Nickelhütte Aue ist ein Unternehmen, das sich mit der Herstellung von Nichteisen-Metallkonzentraten aus Galvanikschlämmen und Rückständen der Metallverarbeitung befasst.",193000000,279,3,tier1,Siegfried Jacob,1635,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Privatbrauerei Erdinger Weißbräu Werner Brombach GmbH,erdinger.de,Erding,Bayern,DE,85435.0,08122-409-0,info@erdinger.de,Industrie,Erdinger ist eine ausschließlich auf Weißbier spezialisierte Brauerei.,192200000,500,3,tier1,Brombach,1886,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Schmoll Maschinen GmbH,schmoll-maschinen.de,Rödermark,Hessen,DE,63322.0,06074-8901-0,info@schmoll-maschinen.de,Maschinenbau,"Schmoll Maschinen ist eine Firma, die ihr Hauptaugenmerk auf Produktionsmaschinen für die Elektronikmassenproduktion und Mikrobearbeitung richtet. Das Unternehmen produziert jeden Monat mehr als 70 Maschinen.",191800000,200,3,tier1,Kunz,1979,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Hans Willi Böhmer Verpackung und Vertrieb GmbH & Co.KG,kartoffel-boehmer.de,Mönchengladbach,Nordrhein-Westfalen,DE,41199.0,02166-9681-0,info@kartoffel-boehmer.de,Industrie,Böhmer ist tätig im Bereich Lebensmittelindustrie.,191000000,352,3,tier1,Böhmer / Kleinlein,1928,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Meister Werkzeuge GmbH,meister-werkzeuge.de,Wuppertal,Nordrhein-Westfalen,DE,42349.0,0202-24750-0,info@meister-werkzeuge.de,Werkzeugbau,"Meister Werkzeuge ist ein Familienunternehmen mit Spezialisierung auf Elektro- und Handwerkzeuge, Gartengeräte, Möbelbeschläge und Elektroinstallationsmaterialien.",190000000,300,3,tier1,Würth,1876,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Dietz GmbH,dietz-tabak.de,Leingarten,Baden-Württemberg,DE,74211.0,07131-4062-0,info@dietz-tabak.de,Tabakindustrie,"Das Unternehmen Dietz Tabak mit Sitz in Leingarten und einer Niederlassung in Karlsdorf beliefert als Großhändler Gastronomiebetriebe, Kioske, Lebensmittelhandel und Tankstellen mit Tabakwaren und Raucherbedarfsartikeln.",190000000,100,3,tier1,Dietz,1938,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Lindauer Dornier GmbH,lindauer-dornier.com,Lindau (Bodensee),Bayern,DE,88131.0,08382-703-0,info@lindauerdornier.com,Maschinenbau,Lindauer Dornier ist der größte deutsche Webmaschinen-Hersteller.,189700000,943,3,tier1,Dornier,1950,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Polymer-Technik Elbe GmbH,polymertechnik.com,Lutherstadt Wittenberg,Sachsen-Anhalt,DE,6886.0,03491-659-154,gl@polymertechnik.com,Automobilzulieferer,"Polymertechnik Elbe, kurz PTE, entwickelt, produziert und vertreibt Kautschukmischungen.",189000000,620,3,tier1,Peter Cöllen,1898,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Wolf ButterBack KG,butterback.de,Fürth,Bayern,DE,90763.0,0911-67044-0,info@butterback.de,Industrie,Wolf ButterBack hat sich auf die Herstellung von Tiefkühlteiglingen spezialisiert.,189000000,420,3,tier1,Oetker,1991,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Pierre Lang - Schmuck Handels GmbH Deutschland,pierre-lang.de,Kirchheim bei München,Bayern,DE,85551.0,089-959570,,Industrie,Die Firma Pierre Lang ist europaweit fokussiert auf Schmuck.,189000000,300,3,tier1,Pierre Lang (Österreich),1961,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
hilzinger GmbH,hilzinger.de,Willstätt,Baden-Württemberg,DE,77731.0,07852-919-0,info@hilzinger.de,Industrie,Hilzinger ist ein mittelständischer Fensterbauer.,188379009,800,3,tier1,Hilzinger,1946,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Karl Diederichs KG,dirostahl.de,Remscheid,Nordrhein-Westfalen,DE,42899.0,02191-593-0,info@dirostahl.de,Metallverarbeitung,"Dirostahl ist ein Stahl-, Walz- und Hammerwerk, das Schmiedestücke produziert.",188000000,470,3,tier1,Diederichs,1912,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Lifta GmbH,lifta.de,Köln,Nordrhein-Westfalen,DE,50858.0,0800 - 20 33 150,lifta@lifta.de,Industrie,Lifta ist Anbieter von Treppenliften.,187900000,200,3,tier1,Liftstar Holding GmbH,1977,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Fette Compacting,fette-compacting.de,Schwarzenbek,Schleswig-Holstein,DE,21493.0,04151-12-0,tablet@fette-compacting.com,Maschinenbau,"Fette Compacting ist der weltweit führende Anbieter von integrierten Lösungen für die industrielle Herstellung von Tabletten und die Befüllung von Kapseln. Stammsitz und globale Schaltzentrale des Unternehmens ist Schwarzenbek bei Hamburg. Einen zweiten Technologie- und Produktionsstandort betreibt Fette Compacting in Nanjing (China). Weltweit ist Fette Compacting in mehr als 50 Ländern vertreten. Fette Compacting ist Teil der LMT Group, einer mittelständischen Unternehmensgruppe in Familienbesitz. Weltweit arbeiten für die Unternehmen der LMT Group mehr als 2.200 Menschen an über 20 Standorten. Im Geschäftsjahr 2020 erzielte die Gruppe einen Umsatz von 370 Millionen Euro.",187800000,785,3,tier1,LMT Gruppe,1908,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
elexis AG,elexis.de,Wenden,Nordrhein-Westfalen,DE,57482.0,02762-612-130,info@elexis.de,Maschinenbau,Die Elexis AG ist ein Technologieunternehmen mit zwei Geschäftsbereichen.,187600000,653,3,tier1,SMS Group = Weiss,1995,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Bito-Lagertechnik Bittmann GmbH,bito.de,Meisenheim,Rheinland-Pfalz,DE,55590.0,06753-122-0,info@bito.de,Industrie,"Bito ist ein international aufgestelltes Unternehmen, das in der Lager- und Kommissioniertechnik tätig ist.",186100000,950,3,tier1,Bittmann,1845,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Schmiedewerke Gröditz GmbH,stahl-groeditz.de,Gröditz,Sachsen,DE,1609.0,035263-62-0,info@stahl-groeditz.de,Metallverarbeitung,"Schmiedewerke Gröditz ist ein Unternehmen, dessen Tätigkeitsfelder in der Herstellung von Freiformschmiedestücken und Ringwalzerzeugnissen liegen.",186000000,717,3,tier1,Georgsmarienhütte Dr. Großmann,1779,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
KRONOSPAN GmbH,kronospan-worldwide.com,Steinheim,Nordrhein-Westfalen,DE,32839.0,05238-9840,office.sa@kronospan.de,Holzindustrie,"Kronospan ist ein Hersteller von Span- und MDF-Platten, Laminatfussböden, Arbeitsplatten, Postforming und vielen anderen Holzwerkstoffen.",186000000,620,3,tier1,Kronogruppe (Schweiz),1982,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Ladenburger GmbH,ladenburger.de,Bopfingen,Baden-Württemberg,DE,73441.0,07362-96050,info@ladenburger.de,Holzindustrie,Die Firma Ladenburger ist europaweit führend für Holz.,186000000,446,3,tier1,Ladenburger,1938,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
MÄURER & WIRTZ GmbH & Co. KG,m-w.de,Stolberg (Rheinland),Nordrhein-Westfalen,DE,52224.0,02402-89-01,info@m-w.de,Industrie,Mäurer und Wirtz stellt Düfte und Pflegeprodukte her. Bekannt ist der Produzent unter anderem für Eigenmarken wie Tabac und Lizenzprodukte von Betty Barclayund die traditionsreiche Kölner Marke 4711.,186000000,300,3,tier1,Dalli-Werke,1851,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
Frischpack GmbH,frischpack.de,Tuntenhausen,Bayern,DE,83104.0,08065-189-0,info@frischpack.de,Industrie,Frischpack ist ein Abpackspezialist für Käse.,185120000,600,3,tier1,Hain / Heimes,1972,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
CROWN Gabelstapler GmbH & Co. KG,crown.com,Feldkirchen,Bayern,DE,85622.0,089-93002-0,info@crown.com,Industrie,"Crown ist ein Unternehmen, das elektrische Gabelstapler entwickelt und produziert.",185000000,740,3,tier1,Crown Equipment Corporation (USA),1945,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Aluminium Oxid Stade GmbH,aos-stade.de,Stade,Niedersachsen,DE,21683.0,04146-92-1,info@aos-stade.de,Metallindustrie,Aluminium Oxid Stade ist eine Oxidfabrik.,185000000,520,3,tier1,Dadco Alumina (Vereinigtes Königreich),1970,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Head of Sales / Vertriebsleiter
Buss Fertiggerichte GmbH,buss.de,Ottersberg,Niedersachsen,DE,28870.0,04205-99-0,informationen@buss.de,Industrie,"Buss hat sich auf Herstellung und Vertrieb von Suppen, Eintöpfen und Fertiggerichten spezialisiert.",185000000,370,3,tier1,Heristo=Heinrich Risken,1938,,,81.0,False,False,100,Familienunternehmen_V6; Research_xlsx,2,Geschäftsführer/CEO
