Name,Company Domain Name,City,State/Region,Country/Region,Industry,Description,Annual Revenue,Number of Employees,Client Tier,Industry Tier,Ownership Type,Founding Year,World Market Leader,Pipeline Priority Score,In Pipeline,Already in DB,Data Completeness %,Source Lists,Source Count,Target Contact Role
Huisman Equipment,huismanequipment.com,Schiedam,Zuid-Holland,Netherlands,Heavy Lift Cranes / Offshore Equipment,Designs and manufactures heavy lifting equipment for renewable energy and offshore.,680000000,2200,1,tier1,Private,1929,Yes - world leader in heavy-lift crane design,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Koninklijke Vopak,vopak.com,Rotterdam,Zuid-Holland,Netherlands,Industrial Tank Storage,"World's leading independent tank storage company for chemicals, oil, gases, LNG, and biofuels.",1300000000,5618,1,tier1,Public (Euronext),1616,Yes - world's largest independent tank storage company,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Thales Nederland,thalesgroup.com,Hengelo,Overijssel,Netherlands,Defense Electronics / Naval Radar,"Manufactures naval defense systems including sensors, radars, IR systems and air defense.",800000000,2800,1,tier1,Subsidiary (Thales Group),1922,Yes - world leader in naval radar,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Marel / JBT Marel,jbtmarel.com,Boxmeer,Noord-Brabant,Netherlands,Food Processing Equipment,"Major food processing equipment manufacturer for poultry, meat, and fish industries.",1000000000,2000,1,tier1,Subsidiary (JBT Marel),1963,Yes - one of top-2 global food processing equipment companies,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Wavin,wavin.com,Zwolle,Overijssel,Netherlands,Plastics / Pipe Systems,Global manufacturer of plastic pipes and fittings for drainage and water supply.,800000000,3000,1,tier1,Subsidiary (Orbia),1955,Yes - European market leader in plastic piping,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
AWL-Techniek,awl.nl,Harderwijk,Gelderland,Netherlands,Robotic Welding / Automation,"Global system integrator for robotic welding, material handling and logistics automation.",148000000,750,3,tier1,Private,1993,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Fugro,fugro.com,Leidschendam,Zuid-Holland,Netherlands,Geo-data / Marine Survey,"World's leading geo-data specialist for offshore energy, infrastructure and construction.",2100000000,11219,1,tier1,Public (Euronext),1962,Yes - world leader in marine geo-data,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Royal Cosun,cosun.com,Breda,Noord-Brabant,Netherlands,Food Processing / Agri-Industrial,"Cooperative with Sensus (chicory inulin), Aviko (potato) and SVZ (fruit/veg).",2300000000,4100,1,tier1,Cooperative,1899,Yes - world leader in chicory root inulin,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Voortman Steel Machinery,voortman.net,Rijssen,Overijssel,Netherlands,Steel Processing Machinery,CNC-controlled machines for steel construction industry.,200000000,550,3,tier1,Family-owned,1969,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Nooteboom Trailers,nooteboom.com,Wijchen,Gelderland,Netherlands,Trailer Manufacturing (Heavy Transport),European market leader in abnormal road transport vehicles. Payload 20-200 tonnes.,100000000,500,3,tier1,Family-owned,1881,No,75,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
AFAS Software,afas.nl,Leusden,Utrecht,Netherlands,Enterprise Software (ERP/HRM),"Family-owned Dutch ERP software serving 14,000+ clients with integrated business software.",200000000,720,3,tier1,Family-owned,1996,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
TOPdesk,topdesk.com,Delft,Zuid-Holland,Netherlands,Enterprise Software (ITSM/ESM),IT service management and enterprise service management SaaS platform. Offices in 8 countries.,175000000,900,3,tier1,Private (founder-led),1993,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
ilionx,ilionx.com,Utrecht,Utrecht,Netherlands,IT Services / Software Development,"IT services: consultation, software development, implementation for government and SMEs.",150000000,1400,3,tier1,Private,2004,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
OGD ict-diensten,ogd.nl,Delft,Zuid-Holland,Netherlands,IT Services / Infrastructure,"Full-service IT provider: infrastructure, end-user management, software, BI, service desk.",150000000,1400,3,tier1,PE-backed,1988,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Plat4mation,plat4mation.com,Utrecht,Utrecht,Netherlands,IT Services (ServiceNow Partner),Largest pure-play ServiceNow Elite Partner in EMEA. 30% CAGR.,80000000,650,3,tier1,Private,2013,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Leaseweb,leaseweb.com,Amsterdam,Noord-Holland,Netherlands,Cloud Infrastructure / IaaS,"Global IaaS provider with 26 data centers and 80,000+ servers.",220000000,560,3,tier1,Private,1997,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Bynder,bynder.com,Amsterdam,Noord-Holland,Netherlands,B2B SaaS / Digital Asset Management,DAM platform for brands. 20% of Fortune 500 are customers. Forrester Leader.,120000000,600,3,tier1,PE-backed,2013,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Bird,bird.com,Amsterdam,Noord-Holland,Netherlands,Cloud Communications / CPaaS,"Cloud communications platform: SMS, voice, chat, email. 15,000+ customers in 170+ countries.",800000000,900,3,tier1,Private (VC-backed),2011,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Planon,planonsoftware.com,Nijmegen,Gelderland,Netherlands,Enterprise Software (IWMS/FM),"Global leader in IWMS software for building and facilities management. 3,250 clients.",155000000,1160,3,tier1,Subsidiary (Schneider Electric),1982,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
ORTEC,ortec.com,Zoetermeer,Zuid-Holland,Netherlands,Enterprise Software / Optimization,"Mathematical optimization and analytics for supply chain, logistics, workforce planning.",195000000,1100,3,tier1,Private,1981,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Enreach,enreach.com,Amersfoort,Utrecht,Netherlands,Telecommunications / UCaaS / CCaaS,"European UCaaS/CCaaS leader: cloud communications, VoIP, contact center.",200000000,500,3,tier1,PE-backed (Waterland),2018,No,75,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Sioen Industries,sioen.com,Ardooie,Flanders,Belgium,Technical Textiles & Protective Clothing,Global leader in technical textiles and professional protective clothing. 40+ locations.,187000000,1200,3,tier1,Public (Euronext),1960,No,75,False,False,100,BE_Manufacturing; Wholesale_Associations,2,Head of Sales / VP Sales
Banken Champignons Group,bankenchampignons.com,Maasdriel,Gelderland,Netherlands,Food Processing / Agri,International leader in mushroom cultivation and processing. Family business since 1956.,150000000,550,3,tier1,Family-owned,1956,No,75,False,False,100,Rankings,1,Head of Sales / VP Sales
Rexel Nederland,rexel.nl,Amsterdam,Noord-Holland,Netherlands,Electrical Wholesale/Distribution,Partner for electrotechnical professionals. Part of Rexel Group.,400000000,800,3,tier1,Subsidiary (Rexel SA),1967,No,75,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Wasco,wasco.nl,Den Bosch,Noord-Brabant,Netherlands,Technical Wholesale (HVAC/Sanitary),"Technical wholesaler: heating, sanitary, ventilation. 35 branches.",350000000,700,3,tier1,Subsidiary (Rexel SA),1970,No,75,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Plieger Groep,plieger.nl,Zaltbommel,Gelderland,Netherlands,Technical Wholesale (Sanitary/Heating),"NL's largest in sanitary products. Installation, ventilation, electrical.",150000000,750,3,tier1,Subsidiary (GC Gruppe),1948,No,75,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
MCB Group,mcb.eu,Valkenswaard,Noord-Brabant,Netherlands,Steel & Metals Distribution,"Wholesale metals: steel, stainless, aluminium, non-ferrous. 80+ years.",300000000,900,3,tier1,Family-owned,1945,No,75,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Nedis,nedis.com,'s-Hertogenbosch,Noord-Brabant,Netherlands,Consumer Electronics Wholesale,Wholesale distribution of consumer electronics. 40+ year history.,160000000,500,3,tier1,Private (Commaxx),1979,No,75,False,False,100,Wholesale_Associations,1,Head of Sales / VP Sales
Rubix Benelux,rubix.com,,,Netherlands,MRO Industrial Distribution,Europe's largest MRO distributor. 50+ Benelux branches. 1.2M+ products.,200000000,500,3,tier1,PE-backed (CD&R),0,No,75,False,False,80,Wholesale_Associations,1,Head of Sales / VP Sales
Frencken Europe,frenckengroup.com,Eindhoven,Noord-Brabant,Netherlands,Precision Manufacturing / Mechatronics,Develops complex advanced modules for semiconductor and medical OEMs.,55000000,455,4,tier1,Public (SGX-listed),1949,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
Holland Colours,hollandcolours.com,Apeldoorn,Gelderland,Netherlands,Specialty Chemicals / Color Masterbatch,"Develops and produces colorants, masterbatches and additives for PVC and PET.",106000000,400,4,tier1,Public (Euronext),1979,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
AnQore,anqore.com,Geleen,Limburg,Netherlands,Chemicals / Acrylonitrile,Specialist chemical supplier at Chemelot campus. Formerly DSM Acrylonitrile.,200000000,300,4,tier1,Private,2015,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
Contiweb,contiweb.com,Boxmeer,Noord-Brabant,Netherlands,Printing Equipment / Web Handling,Global market leader in auxiliary equipment for offset printing.,70000000,150,5,tier1,Private,2004,Yes - world market leader in web offset auxiliary equipment,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
Airborne Composites,airborne.com,The Hague,Zuid-Holland,Netherlands,Aerospace / Advanced Composites,Advanced composite products and automated manufacturing systems for aerospace and defense.,50000000,200,4,tier1,Private,1995,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
247TailorSteel,247tailorsteel.com,Varsseveld,Gelderland,Netherlands,Online Steel Processing,"Custom laser-cut/bent steel via Sophia AI platform. Facilities in NL, BE, DE.",120000000,360,4,tier1,Private,2007,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
Ebusco,ebusco.com,Deurne,Noord-Brabant,Netherlands,Electric Bus Manufacturing,Developer and manufacturer of zero-emission buses and charging systems.,30000000,345,4,tier1,Public (Euronext),2012,No,70,False,False,100,NL_Manufacturing,1,CEO / Managing Director
Schuberg Philis,schubergphilis.com,Schiphol-Rijk,Noord-Holland,Netherlands,Managed IT Infrastructure / Cloud,Premium managed IT services. Ranked #1 IT company in NL by Whitelane Research.,88000000,490,4,tier1,PE-backed (Bridgepoint),2001,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Eurofiber,eurofiber.com,Maarssen,Utrecht,Netherlands,Telecommunications / Fiber Infrastructure,"Critical fiber-optic infrastructure: 76,000 km network across NL/BE/FR/DE.",217000000,450,4,tier1,PE-backed (Antin),2000,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Fox-IT,fox-it.com,Delft,Zuid-Holland,Netherlands,Cybersecurity,"Leading Dutch cybersecurity: threat intelligence, forensics, MDR for government and defense.",50000000,350,4,tier1,Subsidiary (NCC Group),1999,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Sendcloud,sendcloud.com,Eindhoven,Noord-Brabant,Netherlands,B2B SaaS / Shipping & Logistics,"All-in-one shipping platform for e-commerce: 100+ carriers, 60+ integrations.",70000000,475,4,tier1,Private (VC-backed),2012,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Wortell,wortell.nl,Lijnden,Noord-Holland,Netherlands,Managed IT / Microsoft Cloud,Leading Microsoft Cloud partner. Own SOC. 2x Microsoft Partner of the Year NL.,50000000,350,4,tier1,PE-backed,1997,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Software Improvement Group,softwareimprovementgroup.com,Amsterdam,Noord-Holland,Netherlands,Software Quality & Security Analytics,World's first ISO/IEC 17025 accredited software quality lab. 400+ enterprise clients.,30000000,250,4,tier1,Private,2000,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
DataSnipper,datasnipper.com,Amsterdam,Noord-Holland,Netherlands,Software / AI Automation,"Intelligent automation platform for auditors. 400,000+ users in 125 countries.",50000000,200,4,tier1,Private (VC-backed),2017,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Effectory,effectory.com,Amsterdam,Noord-Holland,Netherlands,Software / SaaS (Employee Feedback),"Europe's largest provider of employee feedback SaaS solutions. 1,000+ organizations in 110 countries.",38000000,251,4,tier1,Private,1996,No,70,False,False,100,NL_IT_Software,1,CEO / Managing Director
Vandewiele Group,vandewiele.com,Kortrijk,Flanders,Belgium,Textile Machinery,World leader in mechatronics solutions and textile machinery.,918000000,3827,1,tier1,Family-owned,1880,Yes - world leader in textile machinery,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
FN Herstal,fnherstal.com,Herstal,Wallonia,Belgium,Defense & Firearms,World-leading manufacturer of small arms and weapon systems. 100+ countries.,1000000000,3000,1,tier1,Government-owned,1889,Yes - world leader in small arms,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Niko Group,niko.eu,Sint-Niklaas,Flanders,Belgium,Electrical / Home Automation,Belgian market leader in switching materials and smart building solutions.,200000000,750,3,tier1,Family-owned,1919,No,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Resilux,resilux.com,Wetteren,Flanders,Belgium,PET Packaging,"International manufacturer of PET preforms and bottles for beverages, food, cosmetics.",400000000,500,3,tier1,Public (Euronext),1994,No,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
BMT Aerospace,bmtaerospace.com,Oostkamp,Flanders,Belgium,Aerospace Manufacturing,"Flight safety gearing, gearbox assemblies, shafts and couplings for aircraft.",100000000,560,3,tier1,Private,1979,No,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Vandersanden,vandersanden.com,Bilzen,Flanders,Belgium,Building Materials / Bricks,Europe's largest family-owned producer of handform bricks. 10 production sites.,200000000,800,3,tier1,Family-owned,1925,No,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
Aertssen Group,aertssen.be,Stabroek,Flanders,Belgium,Construction & Industrial Services,"Authority in Belgium for infrastructure works, crane rental and exceptional transport.",100000000,2500,3,tier1,Private,1963,No,70,False,False,100,BE_Manufacturing,1,Head of Sales / VP Sales
UnifiedPost Group,unifiedpostgroup.com,La Hulpe,Walloon Brabant,Belgium,Digital Document Processing / SaaS,"Digital platform for e-invoicing, e-identity, e-payments. 484K+ subscription customers.",191000000,1320,3,tier1,Public (Euronext),2001,No,70,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Efficy CRM,efficy.com,Brussels,Brussels-Capital,Belgium,CRM / Enterprise Software / SaaS,"Europe's leading flexible CRM. 13,500+ customers, 330,000+ users.",55000000,750,3,tier1,PE-backed,2005,No,70,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Euro-Composites,euro-composites.com,Echternach,Luxembourg,Luxembourg,Composite Materials / Aerospace,"Global composite materials manufacturer for aerospace, defense. NATO-approved.",140000000,1050,3,tier1,Private (Schutz Group),1694,No,70,False,False,100,BE_IT_Luxembourg,1,Head of Sales / VP Sales
Severfield Steel Construction,severfield.eu,Rijssen,Overijssel,Netherlands,Steel Construction,"Designs, manufactures and delivers steel construction projects. 30,000 tonnes annual capacity.",50000000,200,4,tier1,Subsidiary (UK),1961,No,70,False,False,100,Rankings,1,CEO / Managing Director
Brenntag Nederland,brenntag.com,Dordrecht,Zuid-Holland,Netherlands,Chemical Distribution,Global market leader in chemical distribution. NL operations.,300000000,275,4,tier1,Subsidiary (Brenntag SE),1874,No,70,False,False,100,Wholesale_Associations,1,CEO / Managing Director
Cebeo,cebeo.be,Halle,Flanders,Belgium,Electrical Wholesale/Distribution,Leader in Belgium in B2B distribution of electrical equipment. 55 branches.,540000000,800,3,tier1,Subsidiary (Sonepar),0,No,70,False,False,90,Wholesale_Associations,1,Head of Sales / VP Sales
itsme Group,itsme.eu,Brussels,Brussels,Belgium,Industrial Technical Distribution,International independent group: innovative technology for industry and machine building.,95000000,550,3,tier1,Family-owned,0,No,70,False,False,90,Wholesale_Associations,1,Head of Sales / VP Sales
Thermaflex,thermaflex.com,Waalwijk,Noord-Brabant,Netherlands,Insulation & Pre-Insulated Piping,"Thermal insulation solutions for distribution of water, heat, cooling and air.",50000000,250,4,tier1,Private,1976,No,70,False,False,100,Wholesale_Associations,1,CEO / Managing Director
DAF Trucks,daf.com,Eindhoven,Noord-Brabant,Netherlands,Truck Manufacturing,Designs and manufactures heavy-duty trucks with engine factory and final assembly in Eindhoven.,3500000000,6186,1,tier1,Subsidiary (PACCAR),1928,No,65,False,False,100,NL_Manufacturing; Wholesale_Associations,2,Head of Sales / VP Sales
Moba Group,moba.net,Barneveld,Gelderland,Netherlands,Egg Grading / Packing Equipment,World-leading manufacturer of egg grading and packing machines from 14 locations worldwide.,237000000,800,3,unknown,Family-owned,1947,Yes - world market leader in egg grading equipment,65,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Holmatro,holmatro.com,Raamsdonksveer,Noord-Brabant,Netherlands,Hydraulic Equipment / Rescue Tools,Dutch multinational manufacturing hydraulic equipment for industrial and rescue operations.,100000000,500,3,unknown,Family-owned,1967,Yes - world leader in hydraulic rescue tools,65,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Batenburg Techniek,batenburg.nl,Rotterdam,Zuid-Holland,Netherlands,Industrial Automation / Technical,"Industrial technology company making processes smarter, safer and more sustainable.",200000000,1253,2,tier1,Private,1911,No,65,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Koninklijke Gazelle,gazelle.nl,Dieren,Gelderland,Netherlands,Bicycle / E-bike Manufacturing,Netherlands' most iconic bicycle manufacturer. Dutch market leader in premium segment.,400000000,1000,2,tier1,Subsidiary (Pon Holdings),1892,No,65,False,False,100,NL_Manufacturing,1,Head of Sales / VP Sales
Unit4,unit4.com,Utrecht,Utrecht,Netherlands,Enterprise Software (ERP/FP&A/HCM),"Enterprise software for people-centric organisations. 6,000+ customers.",400000000,2600,2,tier1,PE-backed (TA Associates),1980,No,65,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Topicus.com,topicus.com,Deventer,Overijssel,Netherlands,Vertical Market Software,"Pan-European provider of vertical market software platforms across healthcare, education, finance.",494000000,8000,2,tier1,Public (TSX-V),2000,No,65,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Conclusion,conclusion.nl,Utrecht,Utrecht,Netherlands,IT Services / Business Transformation,"#1 IT service provider in NL. Multidisciplinary IT services for public transport, healthcare, finance.",240000000,2800,2,tier1,PE-backed (NPM Capital),2003,No,65,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Centric,centric.eu,Gouda,Zuid-Holland,Netherlands,IT Services / Software / Outsourcing,"Full-service IT company: software, outsourcing, BPO, staffing. Active across NL, BE, DE.",435000000,4000,2,tier1,Private,1992,No,65,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Mendix,mendix.com,Rotterdam,Zuid-Holland,Netherlands,Enterprise Software / Low-Code,Leading enterprise low-code application development platform. Gartner Leader.,200000000,1400,2,tier1,Subsidiary (Siemens),2005,No,65,False,False,100,NL_IT_Software,1,Head of Sales / VP Sales
Materialise,materialise.com,Leuven,Flanders,Belgium,3D Printing / Additive Manufacturing,Pioneer in 3D printing software solutions and manufacturing services.,250000000,2300,2,tier1,Public (Nasdaq / Euronext),1990,No,65,False,False,100,BE_IT_Luxembourg; BE_Manufacturing,2,Head of Sales / VP Sales
AVR Machinery,avr.be,Roeselare,Flanders,Belgium,Agricultural Machinery,Full range of potato and root crop cultivation machinery.,109000000,275,4,tier1,Family-owned (Dewulf),1848,No,65,False,False,100,BE_Manufacturing,1,CEO / Managing Director
Dewulf Group,dewulfgroup.com,Roeselare,Flanders,Belgium,Agricultural Machinery,Leading global manufacturer of agricultural machinery for potato and root crop.,150000000,400,4,tier1,Family-owned,1946,No,65,False,False,100,BE_Manufacturing,1,CEO / Managing Director
Showpad,showpad.com,Ghent,East Flanders,Belgium,Sales Enablement / SaaS,Global leader in revenue enablement technology across 5 continents.,70000000,418,4,tier1,Private (VC-backed),2011,No,65,False,False,100,BE_IT_Luxembourg,1,CEO / Managing Director
