Category,Element,Description,Example from Transcript,Do,Don't
Objection Handling,AI Project Failures,"Address why other AI projects fail","95% of real world tasks given to AI are failing... because they used ChatGPT and other generic LLMs to do complex tasks","Explain difference between generic AI and specialized agentic chains","Ignore prospect's past AI disappointments"
Objection Handling,Creepy vs Cool,"Awareness of personalization boundaries","You have a scale of creepy versus cool. This was more towards the creepy part","Acknowledge when personalization goes too far, adjust approach","Push aggressive personalization without awareness"
Objection Handling,Complex Decision Makers,"Acknowledge unclear buyer landscapes","There's no rule. You have to call there... 1 out of 10, 9 out of 10 are not interested","Validate that identifying decision makers is hard","Oversimplify B2B buying complexity"
Key Messages,Platform Scope,"Knowledge Interaction Platform beyond just sales","This goes throughout the entire organization, to every different department","Position as enterprise-wide platform","Limit to single department use case"
Key Messages,Agentic AI,"AI that requests human reasoning to improve","23 different tasks they wanted to perform but they want our reasoning behind it","Explain human-AI collaboration model","Position AI as fully autonomous"
Key Messages,Signal Types,"Diverse buying signal sources","Vacancy online, annual reports, new locations, factory permits - these are all signals","List specific signal types","Be vague about signal sources"
Key Messages,Results Proof,"Concrete customer outcomes","300 to 500% uplift... salesperson saw company was in market, reached out, signed contract same day","Share specific success stories","Make generic improvement claims"
Key Messages,Fourth Pillar,"Intelligence as fourth organizational pillar","Organizations are built on three pillars: people, process and resources. And next to that, now you have intelligence layer","Introduce intelligence as fourth pillar alongside people/process/resources","Present AI as replacement for existing pillars"
Key Messages,AI Silos Warning,"Risk of unorchestrated AI in applications","I'm feeling a future of AI silos where all the single layers have their own intelligence data that is not orchestrated","Warn about fragmented AI approach, position unified layer","Ignore enterprise architecture concerns"
Key Messages,Three Layers Framework,"ICP + Buyer Persona + Signals","There are three differences: ideal customer, buyer persona (right person at right time), and signals (when are you there at right time)","Explain three distinct layers of targeting","Conflate ICP, persona, and timing"
Customer Examples,Aqua Blue,"Water dispensers - full platform replacement, 60% uplift in meetings, same-day contract signing","They kicked out all standard software... no ERP anymore, no CRM anymore... 10 meetings per week now 16... one person signed the contract the same day","Reference transformational case study with specific metrics","Only share vague or incremental improvements"
Customer Examples,I-Booth,"B2B purchasing, overstock management","30 different people on purchasing department... helping with B2B side to have right inventory at right time","Show diverse use cases (purchasing, not just sales)","Only discuss outbound sales use cases"
Customer Examples,Acer,"Partner/distributor model, mutual campaigns","We're working with Acer... top tier accounts direct, distributors as well, clear preference for partners","Reference recognizable brands when relevant","Only mention unknown companies"
Discovery Questions,Go-to-Market Model,"Direct vs indirect channel mix","Is it direct or indirect? Do you have partners? What is the revenue from direct versus indirect?","Map their channel strategy thoroughly","Assume direct sales only"
Discovery Questions,Geographic Variations,"Market differences by country","Does it change for geographic location? In Italy you have two people... Poland is not a distribution market","Understand regional nuances","Apply uniform approach globally"
Discovery Questions,Growth Priorities,"Strategic focus areas","What are your priorities for 2026? Our priority until 2030 is growth... countries where we are not very well known","Align solution to stated growth priorities","Pitch features disconnected from strategy"
Discovery Questions,Limiting Factors,"Resource constraints","What is the limiting factor right now? The limiting factor is really the people, the human resources","Identify bottlenecks AI-KIP can solve","Ignore operational constraints"
Discovery Questions,Target Group Clarity,"ICP understanding","Your main target group are really the craftsmen... small companies, one or two people","Understand customer size and complexity","Assume enterprise-only focus"
Discovery Questions,Utilization & Activity,"Calculate capacity gaps and daily patterns","You have 99% of your capabilities unutilized... 3.5 calls per day? What are they doing the other 7 hours?","Reframe their data to reveal optimization opportunity, dig into actual activity","Accept surface-level metrics without questioning"
Discovery Questions,Account Structure,"Understand sales capacity vs customer base","800 active clients... each salesperson has 25 potential clients, two to five buying clients. Margin at 25% average","Map sales capacity against customer base, understand economics","Ignore sales team structure or unit economics"
Visual Frameworks,Bow-Tie Model,"Go-to-market visualization","This is like a bow tie, a go to market approach... partner, end customer, indirect motion, direct motion","Use bow-tie visual to explain GTM strategy","Rely only on verbal explanation"
Visual Frameworks,Funnel Stages,"Awareness, education, selection tracking","Awareness, education and selection stage and which channel we're touching here","Map customer journey through stages","Present as single-touch solution"
Visual Frameworks,Lookalike Visualization,"Show current vs potential customers","We visualize that for them... filter by industry, product market fit, lifecycle","Demonstrate filtering and segmentation visually","Just describe capabilities"
Internal Learnings,Pitch Simplification,"Avoid complex concepts early","People don't get the fourth pillar, it's too fake for them... need to focus on sales intelligence","Lead with simple value prop (lookalikes, signals)","Start with platform architecture or 'agentic CDP'"
Internal Learnings,Strategic Levers,"Capture what matters to prospect","A few parts were important to take up the strategic levers. This is something important for him","Note and leverage prospect's stated priorities","Deliver generic pitch regardless of context"
Internal Learnings,Preparation Work,"Background research and mock-ups before demos","We need to now work in background so we can shift the story towards his faith... mock something up because it would be too extensive to already program it","Customize demo to prospect's industry, mock up concepts for discussion","Use same demo for every prospect or build everything before validating"
Internal Learnings,Upsell Potential,"Multi-brand expansion opportunity","He's in the biggest brand. He hits the top, and then every night for this, other brands","Identify expansion to other business units","Stop at single brand/department"
Regional Adaptation,German Market,"Indirect approach preferred, DSGVO sensitivity","This direct selling approach would work better in Benelux, but an indirect way is better in Germany. In Germany, DSGVO... there would be so many people writing a very bad email","Adapt for German market (indirect, attention-first), lead with GDPR compliance","Apply Benelux direct-sales approach to Germany or downplay data protection"
Regional Adaptation,Benelux Market,"More direct approach acceptable","This direct selling approach would work better in Benelux","Be more direct with Benelux prospects","Be overly cautious in Netherlands/Belgium"
Technical Depth,Data Collection,"Agents gathering data globally via proxies","We have agents who are actually scraping all different systems... across the world we have proxies to get that information in","Explain data collection capabilities when asked","Be evasive about data gathering methods"
Technical Depth,Platform Capabilities,"Can replace standard software stack, requires LLM updates","They kicked out all standard software... no ERP, no CRM. Reasoning models need updating every three months","Show full platform replacement potential, explain maintenance transparently","Only position as add-on or hide ongoing requirements"
