company_name,domain,city,region,country,zip,phone,email_company,industry,industry_tier,description,revenue_eur,employees,client_tier,ownership,founding_year,world_market_leader,niche_leadership,contact_1_name,contact_1_position,contact_1_email,contact_1_linkedin,has_url,has_contact,data_completeness,sources,source_count,contact_1_firstname,contact_1_lastname,target_contact_role,contact_role_match,pipeline_priority,in_pipeline,in_db
PULS GmbH,pulspower.com,München,Bayern,DE,81925.0,089-9278-0,info@pulspower.com,Industrie,tier1,PULS hat sich auf die Entwicklung und Fertigung von Hutschienen-Netzteilen konzentriert.,151700000.0,603.0,3.0,Erdl,1980.0,,Innovation leader DIN-rail power supplies,None Bernhard Erdl,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx; dach_10_50m_targets,3,Bernhard,Erdl,Head of Sales / Vertriebsleiter,False,84.0,False,False
pfm medical ag,pfmmedical.com,Köln,Nordrhein-Westfalen,DE,50996.0,02236-9641-0,info@pfmmedical.com,Medizintechnik,tier1,Die Firma Pfm Medical ist ein Pionier im Bereich Medizintechnik.,127100000.0,660.0,3.0,Schoeller Nf.,1971.0,,,None Aurel Schoeller,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx; dach_icp_targets,3,Aurel,Schoeller,Head of Sales / Vertriebsleiter,False,84.0,False,False
Kiefel GmbH,kiefel.com/de,Freilassing,Bayern,DE,83395.0,08654-78-0,kiefel@kiefel.de,Industrie,tier1,Das Unternehmen stellt Maschinen und Werkzeugen für die Verarbeitung von Kunststoffen her.,141500000.0,450.0,3.0,Brückner,1945.0,,Leading specialist in thermoforming & high-frequency welding,None Peter Eisl,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx,3,Peter,Eisl,Geschäftsführer/CEO,True,84.0,False,False
Homag Plattenaufteiltechnik GmbH,holzma.de,Calw,Baden-Württemberg,DE,75365.0,07053-69-0,info@holzma.de,Maschinenbau,tier1,"Homag Plattenaufteiltechnik GmbH ist ein führendes Unternehmen im Maschinenbau. Es bietet innovative Lösungen für die Automatisierung von Holz- und Kunststoffplatten. Die Produkte des Unternehmens umfassen ein Reihe an Aufteilmaschinen, Sägemaschinen, Kantenanleimern und anderen Anlagen zur Verarbeitung von Plattenmaterialien. Dank der modernsten Technologie kann Homag Plattenaufteiltechnik GmbH hochwertige Ergebnisse liefern, die den Kundenerwartungen entsprechen. Das Unternehmen verfügt über ein erfahrenes Team aus Ingenieuren und Technikern, das sich stets bemüht, neue Ideen in die Praxis umzusetzen. Mit seinen innovativen Lösungen hat Homag Plattenaufteiltechnik GmbH bereits viel Anerkennung in der Branche erhalten.",125000000.0,500.0,3.0,Homag = Dürr,,,**MartinMechanic Friedrich Martin GmbH**,None Jens Held,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Hidden_Champions; Research_xlsx,3,Jens,Held,Head of Sales / Vertriebsleiter,False,84.0,False,False
Plasmatreat GmbH,plasmatreat.de,Steinhagen,NRW,DE,,,,Manufacturing,tier1,Atmospheric plasma surface treatment,80000000.0,400.0,3.0,,,Yes - DDW Weltmarktführer,,,,,,True,False,60,MD_Manufacturers_ICP; dach_mittelstand_manufacturers,2,,,Geschäftsführer/CEO,,83.0,False,False
BHS Corrugated,bhs-corrugated.de,Weiherhammer,Bayern,DE,92729.0,09605-919-0,info@bhs-corrugated.de,Maschinenbau,tier1,"BHS Corrugated ist Weltmarktführer auf dem Gebiet der Entwicklung, Herstellung und Montage von Wellpappanlagen.",549585000.0,2000.0,1.0,Bradatsch / Engel,1993.0,Yes - ~50% corrugator share,,None Christian Engel,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx; dach_mittelstand_manufacturers,3,Christian,Engel,Head of Sales / Vertriebsleiter,False,82.0,False,False
GEMÜ Gebr. Müller Apparatebau GmbH & Co. KG,gemu-group.de,Ingelfingen,Baden-Württemberg,DE,74653.0,07940-123-0,info@gemue.de,Industrie,tier1,"Die GEMÜ Gruppe entwickelt und fertigt Ventil-, Mess- und Regelsysteme für Flüssigkeiten, Dämpfe und Gase. Das global ausgerichtete, unabhängige Familienunternehmen produziert an sechs Standorten weltweit und beschäftigt mehr als 1.900 Mitarbeiter.",530000000.0,2500.0,1.0,Müller,1964.0,Yes,,None Gert Müller,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Gert,Müller,Head of Sales / Vertriebsleiter,False,82.0,False,False
Windmöller & Hölscher Gruppe,wh.group/de,Lengerich,Nordrhein-Westfalen,DE,49525.0,05481-14-0,info@wuh-group.com,Maschinenbau,tier1,Windmöller & Hölscher gehört zu den führenden Unternehmen im Bereich Maschinen für die Herstellung flexibler Verpackungen.,1000000000.0,3100.0,1.0,Windmöller/Hölscher,1869.0,Yes - flexible packaging,,None Peter Steinbeck,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx; dach_mittelstand_manufacturers,3,Peter,Steinbeck,Head of Sales / Vertriebsleiter,False,82.0,False,False
Pepperl+Fuchs SE,pepperl-fuchs.com,Mannheim,Baden-Württemberg,DE,68307.0,0621-7760,info@de.pepperl-fuchs.com,Industrie,tier1,"Pepperl und Fuchs entwickelt, produziert und vertreibt elektronische Sensoren und Produkte für den Explosionsschutz.",930000000.0,6850.0,1.0,Fuchs / Michael,1945.0,Yes,,Dr. Gunther Kegel,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; MD_Manufacturers_ICP; Research_xlsx,3,Gunther,Kegel,Head of Sales / Vertriebsleiter,False,82.0,False,False
J.W. Ostendorf GmbH & Co. KG,jwo.com,Coesfeld,Nordrhein-Westfalen,DE,48653.0,02541-744-0,info@jwo.com,Industrie,tier1,"J.W. Ostendorf, kurz JWO, ist ein Farbenhersteller, der zudem Marken für den Handel entwickelt. Dabei ist das Angebot des Unternehmens auf ein komplettes Heimwerker-Sortiment ausgerichtet.",195100000.0,750.0,3.0,Ostendorf,1948.0,,,None Jan Ostendorf,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Jan,Ostendorf,Head of Sales / Vertriebsleiter,False,81.0,False,False
Martin Stanz- und Umformtechnik GmbH,martin-metall.de,Parsberg,Bayern,DE,92331.0,09492-951-0,info@martin-metall.de,Automobilzulieferer,tier1,Martin Stanzteile ist ein unabhängiges Familienunternehmen mit Spezialisierung auf die Herstellung von Stanz- und Umformteilen.,195000000.0,650.0,3.0,Martin,1967.0,,,None Peter Martin,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Peter,Martin,Head of Sales / Vertriebsleiter,False,81.0,False,False
SWISS KRONO TEX GmbH & Co. KG,kronotex.com,Heiligengrabe,Brandenburg,DE,16909.0,033962-69-0,info@swisskrono.de,Holzindustrie,tier1,Kronoply ist ein Hersteller von MDF Platten für die Möbel- und Paneelindustrie.,195000000.0,650.0,3.0,Kronogruppe (Schweiz),1996.0,,,None Hendrik Hecht,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Hendrik,Hecht,Head of Sales / Vertriebsleiter,False,81.0,False,False
Heinrich Manten Qualitätsfleisch vom Niederrhein GmbH & Co. KG,heinrichmanten.de,Geldern,Nordrhein-Westfalen,DE,47608.0,02831-9384-0,info@heinrichmanten.de,Industrie,tier1,"Manten bietet bei der Fleischproduktion alles aus einer Hand: Schlachten, Zerlegen und Veredeln.",195000000.0,350.0,3.0,Manten,1951.0,,,None Peter Franz Manten,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Peter Franz,Manten,Geschäftsführer/CEO,True,81.0,False,False
Elsdorfer Molkerei und Feinkost GmbH,elsdorfer.de,Elsdorf,Niedersachsen,DE,27404.0,04286-9300-0,info@elsdorfer.de,Industrie,tier1,Die Heideblume-Molkerei besteht aus zwei Unternehmensbereichen: Einer Molkerei und einem Feinkostbetrieb.,194300000.0,335.0,3.0,Bauer,1909.0,,,None Thomas Müller,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Thomas,Müller,Geschäftsführer/CEO,True,81.0,False,False
QuickPack Haushalt + Hygiene GmbH,quickpack.de,Renningen,Baden-Württemberg,DE,71272.0,07159-1638-0,quickpack@quickpack.de,Industrie,tier1,Quickpack fertigt und vertreibt Haushaltsprodukte und Hygieneartikel.,193800000.0,175.0,3.0,Schwaderer,1966.0,,,None Jörg Schwaderer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Jörg,Schwaderer,Geschäftsführer/CEO,True,81.0,False,False
VILSA-BRUNNEN Otto Rodekohr GmbH,vilsa.de,Bruchhausen-Vilsen,Niedersachsen,DE,27305.0,04252-392-0,info@vilsa.de,Getränkeindustrie,tier1,"Vilsa Brunnen ist ein Getränkehersteller, der hauptsächlich Mineralwasser produziert und dieses überwiegend in der nordwestdeutschen Region verkauft.",193400000.0,428.0,3.0,Rodekohr,1909.0,,,None Henning Rodekohr,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Henning,Rodekohr,Geschäftsführer/CEO,True,81.0,False,False
Ter Hell & Co. GmbH,terhell.com,Hamburg,Hamburg,DE,20457.0,040-300501-0,info@terhell.com,Industrie,tier1,"Ter Hell ist ein Hamburger Unternehmen, das mit Spezialwachsen und anderen ausgewählten Lebensmittelrohstoffen handelt und sich mit der Distribution chemischer Produkte befasst.",193000000.0,340.0,3.0,Westphal,1908.0,,,None Andreas Früh,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Andreas,Früh,Geschäftsführer/CEO,True,81.0,False,False
Nickelhütte Aue GmbH,nickelhuette-aue.de,Aue,Sachsen,DE,8280.0,03771-5050,info@nickelhuette-aue.de,Industrie,tier1,"Nickelhütte Aue ist ein Unternehmen, das sich mit der Herstellung von Nichteisen-Metallkonzentraten aus Galvanikschlämmen und Rückständen der Metallverarbeitung befasst.",193000000.0,279.0,3.0,Siegfried Jacob,1635.0,,,None Henry Sobieraj,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Henry,Sobieraj,Geschäftsführer/CEO,True,81.0,False,False
Privatbrauerei Erdinger Weißbräu Werner Brombach GmbH,erdinger.de,Erding,Bayern,DE,85435.0,08122-409-0,info@erdinger.de,Industrie,tier1,Erdinger ist eine ausschließlich auf Weißbier spezialisierte Brauerei.,192200000.0,500.0,3.0,Brombach,1886.0,,,None Werner Brombach,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Werner,Brombach,Head of Sales / Vertriebsleiter,False,81.0,False,False
Schmoll Maschinen GmbH,schmoll-maschinen.de,Rödermark,Hessen,DE,63322.0,06074-8901-0,info@schmoll-maschinen.de,Maschinenbau,tier1,"Schmoll Maschinen ist eine Firma, die ihr Hauptaugenmerk auf Produktionsmaschinen für die Elektronikmassenproduktion und Mikrobearbeitung richtet. Das Unternehmen produziert jeden Monat mehr als 70 Maschinen.",191800000.0,200.0,3.0,Kunz,1979.0,,,None Stephan Kunz,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Stephan,Kunz,Geschäftsführer/CEO,True,81.0,False,False
Hans Willi Böhmer Verpackung und Vertrieb GmbH & Co.KG,kartoffel-boehmer.de,Mönchengladbach,Nordrhein-Westfalen,DE,41199.0,02166-9681-0,info@kartoffel-boehmer.de,Industrie,tier1,Böhmer ist tätig im Bereich Lebensmittelindustrie.,191000000.0,352.0,3.0,Böhmer / Kleinlein,1928.0,,,None Olaf Kleinlein,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Olaf,Kleinlein,Geschäftsführer/CEO,True,81.0,False,False
Meister Werkzeuge GmbH,meister-werkzeuge.de,Wuppertal,Nordrhein-Westfalen,DE,42349.0,0202-24750-0,info@meister-werkzeuge.de,Werkzeugbau,tier1,"Meister Werkzeuge ist ein Familienunternehmen mit Spezialisierung auf Elektro- und Handwerkzeuge, Gartengeräte, Möbelbeschläge und Elektroinstallationsmaterialien.",190000000.0,300.0,3.0,Würth,1876.0,,,None Hans-Peter Heffels,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Hans-Peter,Heffels,Geschäftsführer/CEO,True,81.0,False,False
Dietz GmbH,dietz-tabak.de,Leingarten,Baden-Württemberg,DE,74211.0,07131-4062-0,info@dietz-tabak.de,Tabakindustrie,tier1,"Das Unternehmen Dietz Tabak mit Sitz in Leingarten und einer Niederlassung in Karlsdorf beliefert als Großhändler Gastronomiebetriebe, Kioske, Lebensmittelhandel und Tankstellen mit Tabakwaren und Raucherbedarfsartikeln.",190000000.0,100.0,3.0,Dietz,1938.0,,,None Jürgen Barth,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Jürgen,Barth,Geschäftsführer/CEO,True,81.0,False,False
Lindauer Dornier GmbH,lindauer-dornier.com,Lindau (Bodensee),Bayern,DE,88131.0,08382-703-0,info@lindauerdornier.com,Maschinenbau,tier1,Lindauer Dornier ist der größte deutsche Webmaschinen-Hersteller.,189700000.0,943.0,3.0,Dornier,1950.0,,,None Peter D. Dornier,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Peter D.,Dornier,Head of Sales / Vertriebsleiter,False,81.0,False,False
Polymer-Technik Elbe GmbH,polymertechnik.com,Lutherstadt Wittenberg,Sachsen-Anhalt,DE,6886.0,03491-659-154,gl@polymertechnik.com,Automobilzulieferer,tier1,"Polymertechnik Elbe, kurz PTE, entwickelt, produziert und vertreibt Kautschukmischungen.",189000000.0,620.0,3.0,Peter Cöllen,1898.0,,,Dr. Wolfgang Keil,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Wolfgang,Keil,Head of Sales / Vertriebsleiter,False,81.0,False,False
Wolf ButterBack KG,butterback.de,Fürth,Bayern,DE,90763.0,0911-67044-0,info@butterback.de,Industrie,tier1,Wolf ButterBack hat sich auf die Herstellung von Tiefkühlteiglingen spezialisiert.,189000000.0,420.0,3.0,Oetker,1991.0,,,None Axel Dirschner,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Axel,Dirschner,Geschäftsführer/CEO,True,81.0,False,False
Pierre Lang - Schmuck Handels GmbH Deutschland,pierre-lang.de,Kirchheim bei München,Bayern,DE,85551.0,089-959570,,Industrie,tier1,Die Firma Pierre Lang ist europaweit fokussiert auf Schmuck.,189000000.0,300.0,3.0,Pierre Lang (Österreich),1961.0,,,None Charles Philip Alexander von Abercron,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Charles Philip Alexander,von Abercron,Geschäftsführer/CEO,True,81.0,False,False
hilzinger GmbH,hilzinger.de,Willstätt,Baden-Württemberg,DE,77731.0,07852-919-0,info@hilzinger.de,Industrie,tier1,Hilzinger ist ein mittelständischer Fensterbauer.,188379009.0,800.0,3.0,Hilzinger,1946.0,,,None Helmut Hilzinger,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Helmut,Hilzinger,Head of Sales / Vertriebsleiter,False,81.0,False,False
Karl Diederichs KG,dirostahl.de,Remscheid,Nordrhein-Westfalen,DE,42899.0,02191-593-0,info@dirostahl.de,Metallverarbeitung,tier1,"Dirostahl ist ein Stahl-, Walz- und Hammerwerk, das Schmiedestücke produziert.",188000000.0,470.0,3.0,Diederichs,1912.0,,,Dr. Roman Diederichs,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Roman,Diederichs,Geschäftsführer/CEO,True,81.0,False,False
Lifta GmbH,lifta.de,Köln,Nordrhein-Westfalen,DE,50858.0,0800 - 20 33 150,lifta@lifta.de,Industrie,tier1,Lifta ist Anbieter von Treppenliften.,187900000.0,200.0,3.0,Liftstar Holding GmbH,1977.0,,,None Hartmut Bulling,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Hartmut,Bulling,Geschäftsführer/CEO,True,81.0,False,False
